"Partitions, Shelving, Lockers, And Office And Store Fixtures",Industry Group
Offices and Clinics of Doctors of Medicine,Office Equipment & Services
"Heating Equipment, Except Electric and Warm Air Furnaces",Industry Group
Laboratory Apparatus and Furniture,Steel
"Men's And Boys' Furnishings, Work Clothing, And Allied Garments",Industry Group
Truck Trailers,Auto & Truck
Computer Terminals,Computers/Peripherals
Bituminous Coal and Lignite Surface Mining,Coal & Related Energy
Manufacturing - Miscellaneous,Chemical (Diversified)
"Specialty Outpatient Facilities, Not Elsewhere Classified",Industry Group
Lawn and Garden Tractors and Home Lawn and Garden Equipment,Retail (Building Supply)
Miscellaneous Publishing,Aerospace/Defense
Knitting Mills,Business & Consumer Services
Cut Stone and Stone Products,Industry Group
"Wood Household Furniture, Except Upholstered",Industry Group
Direct Mail Advertising Services,Advertising
"Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified",Precious Metals
Services Allied to Motion Picture Distribution,Chemical (Diversified)
Industrial Process Furnaces and Ovens,Construction Supplies
"Computer Related Services, not elsewhere classified",Air Transport
Food & Drug Retailing,Industry Group
Farm & Construction Machinery,Engineering/Construction
Food - Major Diversified,Industry Group
Medical - Equipment & Services,Telecom. Equipment
General Utilities,Transportation
General Transportation,Trucking
Real Estate - General,R.E.I.T.
"Durable Goods, not elsewhere classified",Utility (Water)
Machinery,Machinery
Industrial - Infrastructure Operations,Real Estate (Development)
Agricultural - Machinery,Farming/Agriculture
Oil & Gas Related Equipment and Services,Electronics (General)
Beverages - Alcoholic,Auto Parts
Electronic Equipment,Industry Group
"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electronics (Consumer & Office)
Auto - Recreational Vehicles,Auto & Truck
Manufacturing - Tools & Accessories,Chemical (Diversified)
Manufacturing - Metal Fabrication,Construction Supplies
Real Estate Operations,R.E.I.T.
Healthcare Providers & Services,Healthcare Support Services
"Electric, Gas, and Sanitary Services",Coal & Related Energy
Regulated Water,Utility (Water)
Insurance-Reinsurance,Insurance (Life)
Industrial - Pollution & Treatment Controls,Utility (Water)
Water & Related Utilities,Utility (Water)
Media & Publishing,Computer Services
Leisure Products,Software (Entertainment)
Investment Banking & Investment Services,Bank (Money Center)
Specialty Retailers,Industry Group
Freight & Logistics Services,Oil/Gas (Integrated)
Homebuilding & Construction Supplies,Green & Renewable Energy
"Electronic Equipment, Instruments & Components",Electronics (Consumer & Office)
Biotechnology & Medical Research,Bank (Money Center)
Banking Services,Brokerage & Investment Banking
Equity Real Estate Investment Trusts (REITs),R.E.I.T.
Hotels & Entertainment Services,Hotel/Gaming
Insurance,Investments & Asset Management
Electrical Utilities & IPPs,Industry Group
Paper & Forest Products,Building Materials
Renewable Energy,Green & Renewable Energy
Household Goods,Household Products
Pharmaceuticals,Drugs (Pharmaceutical)
"Computers, Phones & Household Electronics",Industry Group
Textiles & Apparel,Banks (Regional)
Passenger Transportation Services,Air Transport
"Hotels, Restaurants & Leisure",Construction Supplies
Consumer Finance,Insurance (General)
REIT-Office,Industry Group
Financial - Mortgages,Real Estate (Operations & Services)
Technology Distributors,Oil/Gas (Integrated)
Home Improvement,Homebuilding
Environmental Services,Industry Group
Auto - Dealerships,Retail (General)
Asset Management - Bonds,Investments & Asset Management
Residential & Commercial REITs,Industry Group
Real Estate Management & Development,Real Estate (Development)
Iron And Steel Foundries,Environmental & Waste Services
Telephone Interconnect Systems,Utility (Water)
Ice Cream and Frozen Desserts,Beverage (Soft)
Prefabricated Metal Buildings and Components,Construction Supplies
"Costume Jewelry, Costume Novelties, Buttons, And Miscellaneous Notions, Except Precious Metal",Industry Group
Book Printing,Telecom. Services
"Food Preparations, not elsewhere classified",Industry Group
"Beer, Wine, And Distilled Alcoholic Beverages",Food Processing
"Industrial Inorganic Chemicals, not elsewhere classified",Chemical (Diversified)
Forestry,Paper/Forest Products
Farm Supplies,Bank (Money Center)
"Concrete Products, Except Block and Brick",Building Materials
Flour and Other Grain Mill Products,Food Processing
"Footwear, except Rubber, not elsewhere classified",Rubber& Tires
"Mechanical Power Transmission Equipment, Not Elsewhere Classified",Utility (General)
"Surgical, Medical, And Dental Instruments And Supplies",Metals & Mining
Non-Depository Credit Institutions,Bank (Money Center)
Furniture And Home Furnishings,Retail (Grocery and Food)
Division F: Wholesale Trade,Retail (Grocery and Food)
"Cutting Tools, Machine Tool Accessories, and Machinists' Precision Measuring Devices",Machinery
Motor Freight Transportation and Warehousing,Transportation
Land Subdividers And Developers,Real Estate (Development)
"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified",Industry Group
"Chemicals and Chemical Preparations, Not Elsewhere Classified",Industry Group
Candy and Other Confectionery Products,Food Processing
Wholesale Trade-Non-Durable Goods,Utility (Water)
Scrap and Waste Materials,Construction Supplies
Plastics Bottles,Oil/Gas (Integrated)
Industrial Gases,Construction Supplies
Screw Machine Products,Construction Supplies
Primary Metal Industries,Metals & Mining
Industrial Supplies,Business & Consumer Services
Manifold Business Forms,Transportation
Agricultural - Commodities/Milling,Precious Metals
Scientific & Technical Instrument,Utility (Water)
Manufacturing - Textiles,Engineering/Construction
Miscellaneous Furniture And Fixtures,Utility (Water)
"Business Consulting Services, Not Elsewhere Classified",Utility (Water)
Asset Management - Cryptocurrency,Banks (Regional)
Commodity Contracts Brokers and Dealers,Industry Group
